# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
 504000      1.75e-01    1.53e-01      5.14e-03    6.09e-03      6.56e-02    5.73e-02    5.9e-06
 505000      1.84e-01    1.34e-01      1.48e-03    9.53e-03      7.00e-02    4.75e-02    5.9e-06
 506000      1.30e-01    1.44e-01      3.74e-03    4.67e-03      4.99e-02    5.53e-02    5.6e-06
 507000      1.51e-01    1.01e-01      6.06e-03    1.34e-03      5.75e-02    3.92e-02    5.6e-06
 508000      1.33e-01    1.54e-01      2.95e-03    3.24e-03      5.12e-02    5.92e-02    5.6e-06
 509000      1.17e-01    1.70e-01      7.99e-03    4.12e-03      4.26e-02    6.55e-02    5.6e-06
 510000      1.45e-01    1.25e-01      3.20e-03    1.42e-03      5.57e-02    4.86e-02    5.6e-06
 511000      1.72e-01    1.21e-01      7.37e-03    2.56e-03      6.63e-02    4.77e-02    5.3e-06
 512000      1.37e-01    1.30e-01      5.88e-03    1.63e-03      5.30e-02    5.14e-02    5.3e-06
 513000      1.28e-01    1.06e-01      1.06e-02    2.19e-03      4.62e-02    4.19e-02    5.3e-06
 514000      1.62e-01    1.13e-01      1.17e-03    1.68e-03      6.43e-02    4.47e-02    5.3e-06
 515000      1.57e-01    1.45e-01      1.70e-03    2.94e-03      6.21e-02    5.71e-02    5.3e-06
 516000      1.16e-01    1.28e-01      8.00e-04    9.84e-04      4.70e-02    5.21e-02    5.1e-06
 517000      1.32e-01    1.60e-01      6.50e-03    5.09e-03      5.19e-02    6.42e-02    5.1e-06
 518000      1.20e-01    1.31e-01      2.37e-03    1.13e-03      4.86e-02    5.32e-02    5.1e-06
 519000      1.24e-01    1.19e-01      4.57e-04    1.74e-03      5.02e-02    4.81e-02    5.1e-06
 520000      1.48e-01    1.48e-01      4.17e-03    2.94e-03      5.93e-02    5.95e-02    5.1e-06
 521000      9.42e-02    1.17e-01      4.15e-04    1.05e-03      3.90e-02    4.84e-02    4.8e-06
 522000      1.13e-01    1.13e-01      1.42e-03    1.73e-03      4.66e-02    4.65e-02    4.8e-06
 523000      1.28e-01    1.72e-01      2.29e-03    8.08e-03      5.26e-02    6.90e-02    4.8e-06
 524000      1.44e-01    1.55e-01      3.78e-03    1.95e-03      5.89e-02    6.43e-02    4.8e-06
 525000      1.84e-01    9.13e-02      3.30e-03    2.75e-03      7.57e-02    3.72e-02    4.8e-06
 526000      1.52e-01    1.02e-01      2.30e-03    2.91e-03      6.39e-02    4.28e-02    4.6e-06
 527000      1.50e-01    1.02e-01      2.29e-03    2.11e-03      6.34e-02    4.29e-02    4.6e-06
 528000      1.50e-01    1.09e-01      9.12e-04    1.34e-03      6.33e-02    4.61e-02    4.6e-06
 529000      1.25e-01    1.64e-01      4.04e-03    1.42e-03      5.25e-02    6.92e-02    4.6e-06
 530000      1.72e-01    1.01e-01      2.68e-03    1.84e-03      7.26e-02    4.24e-02    4.6e-06
 531000      9.25e-02    1.27e-01      2.54e-03    4.15e-03      3.96e-02    5.40e-02    4.4e-06
 532000      1.37e-01    1.04e-01      2.31e-03    6.30e-04      5.89e-02    4.48e-02    4.4e-06
 533000      1.79e-01    1.11e-01      7.63e-03    7.01e-04      7.54e-02    4.79e-02    4.4e-06
 534000      1.84e-01    1.12e-01      2.10e-03    7.81e-04      7.95e-02    4.85e-02    4.4e-06
 535000      1.44e-01    1.10e-01      1.02e-02    2.13e-03      5.81e-02    4.75e-02    4.4e-06
 536000      1.00e-01    1.09e-01      3.23e-04    2.52e-03      4.42e-02    4.75e-02    4.1e-06
 537000      1.34e-01    1.00e-01      3.07e-03    1.18e-03      5.88e-02    4.40e-02    4.1e-06
 538000      1.63e-01    1.27e-01      2.01e-03    2.73e-03      7.19e-02    5.59e-02    4.1e-06
 539000      1.50e-01    1.23e-01      1.31e-03    9.52e-04      6.62e-02    5.44e-02    4.1e-06
 540000      1.40e-01    1.04e-01      7.57e-03    3.90e-03      5.93e-02    4.51e-02    4.1e-06
 541000      1.81e-01    1.08e-01      5.48e-03    7.06e-04      8.06e-02    4.88e-02    3.9e-06
 542000      1.27e-01    1.07e-01      2.73e-03    1.62e-03      5.69e-02    4.82e-02    3.9e-06
 543000      1.26e-01    7.74e-02      7.85e-04    2.29e-03      5.66e-02    3.44e-02    3.9e-06
 544000      1.51e-01    1.13e-01      2.75e-04    2.16e-03      6.82e-02    5.06e-02    3.9e-06
 545000      1.27e-01    8.85e-02      7.29e-03    1.16e-03      5.48e-02    3.98e-02    3.9e-06
 546000      1.56e-01    1.41e-01      3.87e-03    2.34e-03      7.14e-02    6.44e-02    3.7e-06
 547000      9.23e-02    1.52e-01      1.51e-03    2.50e-03      4.23e-02    6.96e-02    3.7e-06
 548000      1.04e-01    1.07e-01      2.28e-03    1.69e-03      4.74e-02    4.89e-02    3.7e-06
 549000      1.50e-01    1.02e-01      1.79e-03    2.38e-03      6.90e-02    4.63e-02    3.7e-06
 550000      1.09e-01    8.73e-02      1.75e-03    1.82e-03      4.98e-02    3.99e-02    3.7e-06
 551000      1.34e-01    1.03e-01      8.14e-04    1.46e-03      6.30e-02    4.82e-02    3.5e-06
 552000      1.11e-01    1.03e-01      3.85e-03    1.16e-03      5.14e-02    4.85e-02    3.5e-06
 553000      1.53e-01    1.43e-01      1.54e-03    9.06e-03      7.15e-02    6.33e-02    3.5e-06
 554000      1.77e-01    1.06e-01      5.52e-03    1.74e-03      8.19e-02    4.97e-02    3.5e-06
 555000      9.94e-02    1.36e-01      1.89e-03    3.07e-03      4.65e-02    6.34e-02    3.5e-06
 556000      7.96e-02    9.68e-02      1.54e-03    1.91e-03      3.79e-02    4.60e-02    3.4e-06
 557000      1.09e-01    1.18e-01      2.04e-04    4.82e-03      5.19e-02    5.52e-02    3.4e-06
 558000      1.63e-01    1.21e-01      4.48e-03    6.88e-04      7.71e-02    5.79e-02    3.4e-06
 559000      1.27e-01    1.16e-01      1.69e-03    5.52e-03      6.06e-02    5.42e-02    3.4e-06
 560000      6.78e-02    1.06e-01      1.28e-03    4.95e-04      3.22e-02    5.09e-02    3.4e-06
 561000      1.02e-01    9.48e-02      2.04e-03    1.14e-03      4.97e-02    4.62e-02    3.2e-06
 562000      1.43e-01    1.22e-01      2.75e-03    1.73e-03      6.91e-02    5.94e-02    3.2e-06
 563000      1.13e-01    1.20e-01      3.47e-04    1.21e-03      5.49e-02    5.86e-02    3.2e-06
 564000      8.86e-02    7.56e-02      1.49e-03    4.15e-03      4.30e-02    3.58e-02    3.2e-06
 565000      1.04e-01    7.83e-02      1.73e-03    1.31e-03      5.06e-02    3.81e-02    3.2e-06
 566000      1.11e-01    7.46e-02      5.59e-03    1.16e-03      5.35e-02    3.70e-02    3.0e-06
 567000      8.11e-02    9.33e-02      1.46e-03    4.94e-04      4.02e-02    4.64e-02    3.0e-06
 568000      1.43e-01    9.46e-02      4.06e-03    2.14e-04      7.04e-02    4.71e-02    3.0e-06
 569000      1.15e-01    1.18e-01      6.98e-03    3.07e-03      5.46e-02    5.83e-02    3.0e-06
 570000      9.18e-02    8.99e-02      2.05e-03    1.05e-03      4.54e-02    4.47e-02    3.0e-06
 571000      6.91e-02    1.07e-01      5.00e-03    3.61e-03      3.33e-02    5.34e-02    2.9e-06
 572000      1.22e-01    8.81e-02      6.39e-03    2.52e-03      5.94e-02    4.42e-02    2.9e-06
 573000      9.13e-02    1.25e-01      2.76e-04    3.25e-03      4.63e-02    6.29e-02    2.9e-06
 574000      5.71e-02    1.15e-01      6.56e-04    5.34e-04      2.89e-02    5.85e-02    2.9e-06
 575000      1.66e-01    9.06e-02      5.78e-03    6.70e-04      8.30e-02    4.59e-02    2.9e-06
 576000      1.17e-01    1.40e-01      2.61e-03    2.03e-03      6.02e-02    7.20e-02    2.7e-06
 577000      9.09e-02    9.57e-02      2.37e-04    5.90e-03      4.70e-02    4.71e-02    2.7e-06
 578000      9.70e-02    1.13e-01      8.23e-04    4.31e-03      5.01e-02    5.70e-02    2.7e-06
 579000      1.48e-01    6.99e-02      2.60e-03    4.12e-04      7.61e-02    3.61e-02    2.7e-06
 580000      9.48e-02    1.01e-01      4.18e-04    2.68e-03      4.90e-02    5.16e-02    2.7e-06
 581000      8.26e-02    8.43e-02      6.17e-03    1.08e-03      4.11e-02    4.43e-02    2.6e-06
 582000      1.26e-01    6.85e-02      2.44e-03    8.57e-04      6.62e-02    3.60e-02    2.6e-06
 583000      1.07e-01    1.04e-01      9.32e-04    1.62e-03      5.62e-02    5.46e-02    2.6e-06
 584000      1.31e-01    9.66e-02      6.47e-04    5.08e-03      6.91e-02    4.90e-02    2.6e-06
 585000      1.05e-01    9.34e-02      1.16e-03    4.40e-03      5.53e-02    4.76e-02    2.6e-06
 586000      9.05e-02    9.39e-02      1.14e-03    5.73e-04      4.85e-02    5.03e-02    2.5e-06
 587000      1.66e-01    9.87e-02      1.26e-03    3.16e-03      8.91e-02    5.22e-02    2.5e-06
 588000      8.68e-02    9.00e-02      1.02e-03    1.07e-03      4.64e-02    4.82e-02    2.5e-06
 589000      1.28e-01    9.77e-02      1.09e-03    1.38e-03      6.84e-02    5.23e-02    2.5e-06
 590000      1.17e-01    7.03e-02      4.64e-03    5.97e-04      6.16e-02    3.77e-02    2.5e-06
 591000      6.95e-02    7.95e-02      4.69e-03    5.86e-03      3.63e-02    4.11e-02    2.4e-06
 592000      1.05e-01    7.16e-02      2.63e-03    1.89e-03      5.70e-02    3.87e-02    2.4e-06
 593000      8.83e-02    8.45e-02      5.35e-04    2.85e-03      4.82e-02    4.56e-02    2.4e-06
 594000      1.47e-01    9.88e-02      1.31e-03    2.94e-03      8.05e-02    5.31e-02    2.4e-06
 595000      1.02e-01    9.07e-02      5.80e-04    1.39e-03      5.55e-02    4.94e-02    2.4e-06
 596000      1.24e-01    1.10e-01      8.10e-03    2.89e-04      6.40e-02    6.12e-02    2.2e-06
 597000      7.96e-02    9.88e-02      1.09e-03    1.53e-03      4.41e-02    5.47e-02    2.2e-06
 598000      1.15e-01    5.93e-02      3.11e-03    3.55e-03      6.32e-02    3.19e-02    2.2e-06
 599000      8.96e-02    7.23e-02      8.56e-04    2.39e-03      4.98e-02    3.95e-02    2.2e-06
 600000      1.26e-01    9.32e-02      2.86e-03    1.23e-03      6.95e-02    5.17e-02    2.2e-06
 601000      7.37e-02    8.27e-02      3.26e-03    1.49e-03      4.08e-02    4.66e-02    2.1e-06
 602000      7.67e-02    9.25e-02      1.14e-04    4.56e-03      4.34e-02    5.11e-02    2.1e-06
 603000      7.46e-02    7.61e-02      1.30e-03    4.88e-04      4.20e-02    4.30e-02    2.1e-06
 604000      9.76e-02    9.63e-02      8.40e-04    3.04e-04      5.52e-02    5.45e-02    2.1e-06
 605000      6.62e-02    9.69e-02      1.44e-03    2.54e-03      3.72e-02    5.43e-02    2.1e-06
 606000      1.52e-01    9.34e-02      2.62e-03    6.52e-03      8.71e-02    5.03e-02    2.0e-06
 607000      1.14e-01    6.52e-02      2.26e-03    2.92e-03      6.50e-02    3.67e-02    2.0e-06
 608000      1.27e-01    7.83e-02      7.71e-03    2.48e-03      6.90e-02    4.44e-02    2.0e-06
 609000      6.95e-02    1.08e-01      1.70e-03    1.61e-03      3.96e-02    6.19e-02    2.0e-06
 610000      7.12e-02    8.66e-02      1.67e-03    7.52e-04      4.06e-02    4.98e-02    2.0e-06
 611000      7.11e-02    8.55e-02      5.39e-04    6.39e-04      4.16e-02    5.00e-02    1.9e-06
 612000      8.91e-02    5.47e-02      7.03e-05    1.95e-03      5.22e-02    3.13e-02    1.9e-06
 613000      7.32e-02    7.96e-02      9.25e-05    3.55e-03      4.28e-02    4.53e-02    1.9e-06
 614000      9.55e-02    8.33e-02      2.47e-03    4.72e-03      5.53e-02    4.65e-02    1.9e-06
 615000      9.58e-02    9.72e-02      1.55e-03    5.28e-04      5.59e-02    5.69e-02    1.9e-06
 616000      1.24e-01    7.41e-02      6.08e-03    2.73e-03      7.14e-02    4.31e-02    1.8e-06
 617000      1.14e-01    6.63e-02      1.35e-03    6.38e-04      6.79e-02    3.94e-02    1.8e-06
 618000      1.32e-01    8.30e-02      6.96e-04    5.41e-03      7.87e-02    4.64e-02    1.8e-06
 619000      7.08e-02    7.36e-02      1.71e-03    2.49e-03      4.18e-02    4.30e-02    1.8e-06
 620000      1.04e-01    9.00e-02      5.94e-03    1.31e-03      5.92e-02    5.34e-02    1.8e-06
 621000      1.03e-01    7.49e-02      3.78e-03    9.90e-04      6.11e-02    4.52e-02    1.7e-06
 622000      9.16e-02    7.79e-02      8.68e-04    2.60e-03      5.54e-02    4.64e-02    1.7e-06
 623000      7.43e-02    7.43e-02      6.96e-04    3.14e-03      4.49e-02    4.40e-02    1.7e-06
 624000      9.60e-02    7.60e-02      3.29e-04    5.55e-04      5.81e-02    4.60e-02    1.7e-06
 625000      1.07e-01    7.18e-02      8.62e-04    9.40e-05      6.47e-02    4.34e-02    1.7e-06
 626000      6.12e-02    6.69e-02      1.63e-03    3.72e-04      3.74e-02    4.11e-02    1.6e-06
 627000      8.85e-02    6.93e-02      1.79e-03    3.06e-03      5.41e-02    4.17e-02    1.6e-06
 628000      1.15e-01    8.14e-02      1.11e-03    1.05e-03      7.06e-02    5.00e-02    1.6e-06
 629000      9.33e-02    6.88e-02      2.45e-03    4.26e-03      5.68e-02    4.08e-02    1.6e-06
 630000      8.75e-02    8.39e-02      3.11e-04    3.07e-03      5.38e-02    5.10e-02    1.6e-06
 631000      8.20e-02    6.82e-02      1.91e-03    7.68e-04      5.08e-02    4.26e-02    1.6e-06
 632000      9.59e-02    8.80e-02      1.34e-03    4.23e-04      5.98e-02    5.50e-02    1.6e-06
 633000      1.05e-01    6.24e-02      8.86e-04    1.94e-03      6.56e-02    3.86e-02    1.6e-06
 634000      1.18e-01    8.69e-02      1.36e-03    3.91e-03      7.34e-02    5.23e-02    1.6e-06
 635000      1.10e-01    8.57e-02      1.99e-03    7.10e-04      6.82e-02    5.35e-02    1.6e-06
 636000      7.73e-02    8.35e-02      4.58e-04    1.90e-03      4.91e-02    5.26e-02    1.5e-06
 637000      8.21e-02    9.68e-02      1.24e-03    2.79e-03      5.19e-02    6.06e-02    1.5e-06
 638000      8.29e-02    7.03e-02      6.08e-03    1.36e-04      4.88e-02    4.46e-02    1.5e-06
 639000      1.19e-01    7.91e-02      4.31e-03    1.21e-03      7.39e-02    5.00e-02    1.5e-06
 640000      9.16e-02    8.83e-02      1.12e-03    4.60e-03      5.80e-02    5.38e-02    1.5e-06
 641000      8.82e-02    7.42e-02      8.50e-04    2.28e-03      5.67e-02    4.70e-02    1.4e-06
 642000      6.98e-02    8.31e-02      2.79e-04    4.48e-03      4.50e-02    5.15e-02    1.4e-06
 643000      5.79e-02    8.23e-02      4.48e-03    3.99e-05      3.51e-02    5.31e-02    1.4e-06
 644000      6.85e-02    5.59e-02      4.12e-04    2.95e-03      4.41e-02    3.50e-02    1.4e-06
 645000      1.48e-01    7.74e-02      6.47e-04    2.12e-03      9.54e-02    4.94e-02    1.4e-06
 646000      1.03e-01    6.45e-02      4.56e-03    2.94e-03      6.56e-02    4.08e-02    1.3e-06
 647000      9.59e-02    8.26e-02      7.48e-03    1.34e-03      5.72e-02    5.38e-02    1.3e-06
 648000      5.67e-02    5.47e-02      1.49e-03    3.39e-04      3.68e-02    3.58e-02    1.3e-06
 649000      6.75e-02    9.17e-02      8.23e-04    7.93e-04      4.40e-02    5.99e-02    1.3e-06
 650000      8.81e-02    8.12e-02      8.46e-04    8.88e-04      5.76e-02    5.30e-02    1.3e-06
 651000      1.26e-01    6.76e-02      8.56e-03    4.96e-04      7.86e-02    4.49e-02    1.3e-06
 652000      8.52e-02    9.52e-02      8.47e-04    2.73e-03      5.64e-02    6.25e-02    1.3e-06
 653000      6.93e-02    7.91e-02      8.76e-04    1.84e-03      4.59e-02    5.21e-02    1.3e-06
 654000      6.95e-02    8.75e-02      6.62e-04    2.63e-03      4.61e-02    5.71e-02    1.3e-06
 655000      9.95e-02    8.89e-02      1.29e-03    1.57e-03      6.59e-02    5.86e-02    1.3e-06
 656000      9.18e-02    9.16e-02      1.33e-03    3.65e-03      6.16e-02    5.99e-02    1.2e-06
 657000      8.80e-02    7.98e-02      4.67e-03    1.35e-03      5.73e-02    5.35e-02    1.2e-06
 658000      9.21e-02    6.77e-02      4.61e-04    1.66e-03      6.20e-02    4.51e-02    1.2e-06
 659000      1.13e-01    9.00e-02      6.87e-03    4.19e-03      7.15e-02    5.86e-02    1.2e-06
 660000      8.63e-02    5.77e-02      2.01e-03    4.59e-04      5.76e-02    3.88e-02    1.2e-06
 661000      8.32e-02    6.02e-02      2.58e-03    1.79e-03      5.58e-02    4.06e-02    1.1e-06
 662000      1.24e-01    8.66e-02      4.90e-04    2.46e-03      8.45e-02    5.84e-02    1.1e-06
 663000      6.77e-02    6.88e-02      2.61e-04    2.98e-03      4.62e-02    4.61e-02    1.1e-06
 664000      1.00e-01    5.91e-02      7.79e-03    1.85e-03      6.28e-02    3.97e-02    1.1e-06
 665000      8.55e-02    7.17e-02      8.16e-04    2.48e-03      5.83e-02    4.80e-02    1.1e-06
 666000      6.72e-02    5.93e-02      1.99e-03    1.97e-03      4.59e-02    4.03e-02    1.1e-06
 667000      7.82e-02    6.33e-02      6.15e-04    7.54e-04      5.41e-02    4.37e-02    1.1e-06
 668000      1.03e-01    8.52e-02      4.37e-03    4.45e-03      6.96e-02    5.68e-02    1.1e-06
 669000      1.45e-01    5.39e-02      8.68e-04    3.52e-03      1.00e-01    3.57e-02    1.1e-06
 670000      1.23e-01    6.31e-02      1.35e-03    7.38e-04      8.51e-02    4.36e-02    1.1e-06
 671000      7.74e-02    6.75e-02      6.95e-04    3.29e-04      5.42e-02    4.73e-02    1.0e-06
 672000      6.90e-02    8.15e-02      1.61e-03    4.99e-03      4.79e-02    5.37e-02    1.0e-06
 673000      7.55e-02    6.87e-02      1.46e-03    3.36e-03      5.27e-02    4.68e-02    1.0e-06
 674000      9.02e-02    6.64e-02      1.87e-03    1.39e-03      6.28e-02    4.62e-02    1.0e-06
 675000      7.99e-02    6.39e-02      1.82e-03    9.42e-04      5.55e-02    4.47e-02    1.0e-06
 676000      8.13e-02    5.15e-02      9.32e-04    4.34e-05      5.76e-02    3.66e-02    9.8e-07
 677000      7.56e-02    7.25e-02      4.75e-04    9.84e-04      5.37e-02    5.13e-02    9.8e-07
 678000      7.32e-02    5.43e-02      7.63e-04    2.26e-03      5.19e-02    3.79e-02    9.8e-07
 679000      9.44e-02    7.74e-02      5.08e-04    7.42e-04      6.70e-02    5.49e-02    9.8e-07
 680000      8.11e-02    5.20e-02      3.70e-03    1.27e-03      5.61e-02    3.67e-02    9.8e-07
 681000      8.37e-02    7.33e-02      1.36e-03    2.50e-03      5.99e-02    5.20e-02    9.3e-07
 682000      1.06e-01    6.75e-02      4.02e-03    3.14e-03      7.46e-02    4.71e-02    9.3e-07
 683000      7.43e-02    7.08e-02      3.75e-03    8.38e-04      5.15e-02    5.08e-02    9.3e-07
 684000      8.36e-02    7.62e-02      4.47e-03    5.22e-03      5.78e-02    5.18e-02    9.3e-07
 685000      1.05e-01    7.13e-02      2.21e-03    1.47e-03      7.46e-02    5.09e-02    9.3e-07
 686000      5.89e-02    6.28e-02      1.30e-03    1.06e-03      4.26e-02    4.55e-02    8.9e-07
 687000      5.65e-02    8.68e-02      3.02e-04    1.81e-03      4.11e-02    6.28e-02    8.9e-07
 688000      7.80e-02    6.47e-02      3.84e-03    6.44e-04      5.52e-02    4.70e-02    8.9e-07
 689000      1.14e-01    5.92e-02      5.93e-03    1.38e-03      7.95e-02    4.28e-02    8.9e-07
 690000      1.06e-01    7.88e-02      3.72e-03    5.13e-04      7.57e-02    5.73e-02    8.9e-07
 691000      4.97e-02    6.77e-02      1.06e-03    2.81e-03      3.63e-02    4.86e-02    8.4e-07
 692000      9.36e-02    6.23e-02      3.32e-03    5.52e-04      6.77e-02    4.59e-02    8.4e-07
 693000      5.74e-02    7.15e-02      2.40e-03    8.64e-04      4.12e-02    5.25e-02    8.4e-07
 694000      8.60e-02    5.78e-02      3.97e-04    8.77e-04      6.34e-02    4.24e-02    8.4e-07
 695000      4.85e-02    6.10e-02      4.78e-03    2.50e-04      3.22e-02    4.49e-02    8.4e-07
 696000      6.56e-02    6.44e-02      1.36e-03    3.81e-03      4.85e-02    4.53e-02    8.0e-07
 697000      1.38e-01    8.73e-02      5.22e-04    5.70e-03      1.03e-01    6.09e-02    8.0e-07
 698000      7.31e-02    1.02e-01      3.26e-03    4.07e-03      5.32e-02    7.45e-02    8.0e-07
 699000      6.63e-02    8.33e-02      7.25e-04    3.56e-03      4.93e-02    6.06e-02    8.0e-07
 700000      6.91e-02    7.27e-02      3.10e-03    3.17e-03      4.99e-02    5.25e-02    8.0e-07
 701000      1.02e-01    8.47e-02      3.69e-03    3.33e-04      7.51e-02    6.38e-02    7.6e-07
 702000      6.48e-02    7.09e-02      9.94e-04    6.46e-04      4.87e-02    5.33e-02    7.6e-07
 703000      5.59e-02    8.11e-02      1.61e-03    1.26e-03      4.16e-02    6.10e-02    7.6e-07
 704000      7.18e-02    5.93e-02      2.72e-03    4.60e-04      5.31e-02    4.47e-02    7.6e-07
 705000      7.57e-02    5.96e-02      3.20e-03    1.07e-03      5.57e-02    4.47e-02    7.6e-07
 706000      7.61e-02    9.23e-02      8.76e-04    2.50e-03      5.78e-02    6.95e-02    7.2e-07
 707000      5.89e-02    7.96e-02      2.82e-03    1.57e-03      4.35e-02    6.03e-02    7.2e-07
 708000      7.25e-02    8.36e-02      3.36e-03    2.21e-03      5.37e-02    6.29e-02    7.2e-07
 709000      5.30e-02    9.32e-02      6.43e-04    7.24e-04      4.03e-02    7.09e-02    7.2e-07
 710000      7.59e-02    8.19e-02      4.42e-04    6.34e-04      5.78e-02    6.23e-02    7.2e-07
 711000      6.84e-02    6.71e-02      1.26e-03    2.75e-03      5.24e-02    5.03e-02    6.9e-07
 712000      7.68e-02    5.06e-02      1.65e-03    4.52e-04      5.87e-02    3.89e-02    6.9e-07
 713000      4.93e-02    5.59e-02      1.58e-03    1.24e-03      3.73e-02    4.28e-02    6.9e-07
 714000      1.03e-01    8.17e-02      5.79e-04    1.31e-03      7.93e-02    6.27e-02    6.9e-07
 715000      6.00e-02    6.96e-02      9.41e-04    2.08e-03      4.61e-02    5.30e-02    6.9e-07
 716000      6.75e-02    7.88e-02      2.36e-03    6.09e-04      5.17e-02    6.13e-02    6.5e-07
 717000      6.96e-02    5.46e-02      3.76e-03    1.56e-03      5.20e-02    4.21e-02    6.5e-07
 718000      8.13e-02    8.63e-02      1.98e-03    3.62e-03      6.26e-02    6.52e-02    6.5e-07
 719000      7.20e-02    7.00e-02      1.21e-03    1.17e-03      5.58e-02    5.42e-02    6.5e-07
 720000      9.43e-02    6.32e-02      1.24e-03    7.76e-04      7.32e-02    4.90e-02    6.5e-07
 721000      5.59e-02    6.01e-02      1.31e-03    5.30e-04      4.36e-02    4.71e-02    6.2e-07
 722000      9.69e-02    9.34e-02      4.24e-03    7.44e-03      7.38e-02    6.58e-02    6.2e-07
 723000      6.52e-02    5.65e-02      9.74e-04    7.79e-04      5.11e-02    4.42e-02    6.2e-07
 724000      5.72e-02    6.13e-02      1.63e-03    3.91e-04      4.44e-02    4.81e-02    6.2e-07
 725000      8.53e-02    5.38e-02      1.19e-03    1.11e-05      6.69e-02    4.23e-02    6.2e-07
 726000      5.90e-02    6.93e-02      2.63e-03    3.57e-03      4.51e-02    5.26e-02    5.9e-07
 727000      6.37e-02    5.18e-02      1.36e-03    1.99e-03      5.03e-02    4.04e-02    5.9e-07
 728000      7.95e-02    6.49e-02      4.44e-03    3.70e-04      6.02e-02    5.15e-02    5.9e-07
 729000      6.94e-02    7.10e-02      8.22e-04    1.01e-03      5.50e-02    5.62e-02    5.9e-07
 730000      6.73e-02    6.33e-02      6.52e-04    2.21e-04      5.33e-02    5.02e-02    5.9e-07
 731000      9.27e-02    5.79e-02      3.16e-03    2.04e-04      7.30e-02    4.64e-02    5.6e-07
 732000      7.40e-02    6.27e-02      1.90e-03    3.99e-03      5.88e-02    4.73e-02    5.6e-07
 733000      5.94e-02    7.68e-02      3.48e-03    2.58e-03      4.57e-02    6.06e-02    5.6e-07
 734000      5.84e-02    4.94e-02      3.40e-03    2.39e-04      4.47e-02    3.95e-02    5.6e-07
 735000      6.43e-02    5.53e-02      1.44e-03    1.65e-03      5.12e-02    4.39e-02    5.6e-07
 736000      8.42e-02    7.57e-02      6.74e-03    1.77e-03      6.09e-02    6.07e-02    5.3e-07
 737000      7.01e-02    6.20e-02      1.43e-04    2.44e-03      5.66e-02    4.89e-02    5.3e-07
 738000      5.73e-02    7.47e-02      5.49e-03    1.60e-03      4.07e-02    5.99e-02    5.3e-07
 739000      9.02e-02    5.08e-02      2.18e-03    3.73e-04      7.23e-02    4.10e-02    5.3e-07
 740000      5.93e-02    7.20e-02      1.64e-04    2.82e-03      4.79e-02    5.66e-02    5.3e-07
 741000      7.11e-02    6.54e-02      3.71e-04    1.09e-03      5.79e-02    5.31e-02    5.1e-07
 742000      8.18e-02    6.35e-02      3.05e-03    3.73e-04      6.54e-02    5.17e-02    5.1e-07
 743000      5.86e-02    5.00e-02      4.84e-04    3.01e-04      4.77e-02    4.07e-02    5.1e-07
 744000      6.71e-02    6.33e-02      1.65e-03    2.98e-03      5.41e-02    4.95e-02    5.1e-07
 745000      8.97e-02    6.76e-02      2.36e-03    4.04e-03      7.25e-02    5.20e-02    5.1e-07
 746000      5.53e-02    7.77e-02      1.82e-03    9.59e-04      4.47e-02    6.37e-02    4.8e-07
 747000      4.16e-02    7.05e-02      1.97e-03    2.67e-03      3.30e-02    5.65e-02    4.8e-07
 748000      7.44e-02    4.95e-02      8.20e-04    3.93e-03      6.11e-02    3.82e-02    4.8e-07
 749000      7.36e-02    6.38e-02      2.91e-03    2.71e-03      5.92e-02    5.09e-02    4.8e-07
 750000      6.15e-02    5.69e-02      7.53e-04    7.04e-04      5.04e-02    4.67e-02    4.8e-07
 751000      8.37e-02    6.41e-02      1.66e-03    4.04e-03      6.91e-02    4.98e-02    4.6e-07
 752000      6.71e-02    6.37e-02      1.49e-03    1.22e-03      5.51e-02    5.25e-02    4.6e-07
 753000      6.51e-02    6.43e-02      7.09e-04    8.99e-04      5.39e-02    5.31e-02    4.6e-07
 754000      7.37e-02    7.05e-02      2.32e-03    4.42e-03      6.03e-02    5.58e-02    4.6e-07
 755000      5.75e-02    5.75e-02      4.77e-04    2.25e-03      4.76e-02    4.66e-02    4.6e-07
 756000      6.21e-02    5.05e-02      1.23e-03    4.85e-04      5.16e-02    4.21e-02    4.3e-07
 757000      6.30e-02    6.93e-02      3.04e-03    4.30e-04      5.10e-02    5.79e-02    4.3e-07
 758000      5.83e-02    5.86e-02      8.34e-04    1.90e-03      4.86e-02    4.82e-02    4.3e-07
 759000      6.21e-02    5.38e-02      1.80e-03    4.87e-04      5.13e-02    4.49e-02    4.3e-07
 760000      7.02e-02    5.20e-02      1.12e-03    2.44e-04      5.84e-02    4.34e-02    4.3e-07
 761000      8.10e-02    6.18e-02      6.10e-04    9.24e-04      6.81e-02    5.18e-02    4.1e-07
 762000      6.29e-02    7.16e-02      1.56e-03    1.16e-03      5.24e-02    6.00e-02    4.1e-07
 763000      8.77e-02    6.12e-02      1.85e-03    3.31e-03      7.34e-02    4.95e-02    4.1e-07
 764000      8.43e-02    6.08e-02      1.46e-03    3.62e-04      7.07e-02    5.11e-02    4.1e-07
 765000      5.29e-02    4.18e-02      3.19e-04    1.32e-03      4.45e-02    3.46e-02    4.1e-07
