# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
 117000      1.47e+00    1.41e+00      5.12e-02    5.58e-02      8.28e-02    7.93e-02    3.1e-04
 118000      1.84e+00    1.24e+00      2.73e-02    7.22e-03      1.05e-01    7.04e-02    3.1e-04
 119000      1.54e+00    1.59e+00      1.91e-02    1.56e-02      8.75e-02    9.04e-02    3.1e-04
 120000      1.51e+00    1.31e+00      2.51e-02    4.24e-02      8.57e-02    7.39e-02    3.1e-04
 121000      1.21e+00    1.41e+00      1.72e-02    2.22e-02      7.08e-02    8.24e-02    2.9e-04
 122000      1.52e+00    1.52e+00      1.36e-02    3.54e-02      8.90e-02    8.85e-02    2.9e-04
 123000      2.17e+00    1.12e+00      2.45e-02    4.02e-02      1.27e-01    6.42e-02    2.9e-04
 124000      1.51e+00    1.25e+00      5.92e-03    2.35e-02      8.82e-02    7.29e-02    2.9e-04
 125000      1.46e+00    1.18e+00      1.52e-01    2.03e-02      7.62e-02    6.89e-02    2.9e-04
 126000      1.33e+00    1.02e+00      4.78e-03    5.39e-02      7.97e-02    6.01e-02    2.8e-04
 127000      1.16e+00    1.07e+00      1.45e-02    1.78e-02      6.96e-02    6.37e-02    2.8e-04
 128000      1.28e+00    1.49e+00      3.64e-02    2.62e-02      7.60e-02    8.93e-02    2.8e-04
 129000      1.34e+00    1.35e+00      2.13e-02    1.39e-02      8.01e-02    8.10e-02    2.8e-04
 130000      1.38e+00    1.22e+00      2.68e-02    1.06e-02      8.26e-02    7.30e-02    2.8e-04
 131000      1.52e+00    1.14e+00      1.66e-02    4.62e-03      9.37e-02    7.04e-02    2.6e-04
 132000      1.01e+00    1.19e+00      1.09e-02    4.62e-03      6.23e-02    7.30e-02    2.6e-04
 133000      1.41e+00    1.57e+00      8.60e-03    5.26e-03      8.69e-02    9.64e-02    2.6e-04
 134000      1.53e+00    8.93e-01      1.79e-02    2.01e-03      9.40e-02    5.49e-02    2.6e-04
 135000      1.62e+00    1.14e+00      3.05e-02    4.48e-02      9.94e-02    6.95e-02    2.6e-04
 136000      1.16e+00    1.63e+00      8.15e-03    1.65e-02      7.28e-02    1.03e-01    2.5e-04
 137000      1.13e+00    7.67e-01      2.95e-02    1.50e-02      7.09e-02    4.82e-02    2.5e-04
 138000      1.15e+00    1.08e+00      3.70e-03    8.06e-03      7.28e-02    6.81e-02    2.5e-04
 139000      1.28e+00    1.10e+00      1.19e-01    1.33e-02      7.37e-02    6.94e-02    2.5e-04
 140000      1.28e+00    1.25e+00      1.06e-01    1.58e-02      7.55e-02    7.87e-02    2.5e-04
 141000      1.17e+00    8.06e-01      1.67e-03    1.92e-02      7.57e-02    5.18e-02    2.4e-04
 142000      9.65e-01    1.08e+00      3.35e-02    3.15e-02      6.16e-02    6.90e-02    2.4e-04
 143000      1.27e+00    9.90e-01      1.99e-02    1.22e-02      8.19e-02    6.40e-02    2.4e-04
 144000      1.10e+00    1.12e+00      1.08e-01    2.94e-03      6.42e-02    7.27e-02    2.4e-04
 145000      9.82e-01    9.30e-01      4.23e-03    3.15e-02      6.36e-02    5.93e-02    2.4e-04
 146000      1.14e+00    1.14e+00      3.15e-02    3.19e-02      7.50e-02    7.50e-02    2.3e-04
 147000      1.02e+00    1.14e+00      8.84e-02    8.84e-03      6.36e-02    7.56e-02    2.3e-04
 148000      1.12e+00    1.07e+00      3.12e-02    5.52e-03      7.37e-02    7.12e-02    2.3e-04
 149000      7.91e-01    1.04e+00      3.04e-03    1.81e-02      5.25e-02    6.86e-02    2.3e-04
 150000      1.81e+00    1.11e+00      3.40e-03    3.83e-03      1.20e-01    7.37e-02    2.3e-04
 151000      7.60e-01    1.16e+00      2.12e-03    2.44e-03      5.18e-02    7.89e-02    2.1e-04
 152000      7.63e-01    9.50e-01      1.17e-02    4.58e-03      5.18e-02    6.47e-02    2.1e-04
 153000      1.19e+00    9.53e-01      6.43e-03    3.99e-03      8.07e-02    6.49e-02    2.1e-04
 154000      1.30e+00    9.32e-01      1.06e-02    2.08e-02      8.85e-02    6.31e-02    2.1e-04
 155000      1.48e+00    1.20e+00      2.45e-02    1.99e-03      1.00e-01    8.14e-02    2.1e-04
 156000      9.96e-01    1.05e+00      8.54e-03    2.13e-03      6.95e-02    7.32e-02    2.0e-04
 157000      7.56e-01    1.11e+00      4.91e-03    6.15e-03      5.28e-02    7.75e-02    2.0e-04
 158000      8.76e-01    8.03e-01      2.15e-03    7.13e-02      6.12e-02    5.27e-02    2.0e-04
 159000      9.40e-01    7.90e-01      1.87e-02    8.23e-03      6.54e-02    5.52e-02    2.0e-04
 160000      1.43e+00    1.12e+00      2.55e-02    3.83e-03      9.97e-02    7.86e-02    2.0e-04
 161000      8.09e-01    8.30e-01      1.52e-02    5.07e-02      5.78e-02    5.77e-02    1.9e-04
